Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime
drones_instance-24_network_2_deadline_10_corrsize_2,drones,24,3,1,2,10,2,11.820148708703313,0.22837440116555696,0.8305,40,nan,0.0344,0.0349,nan,0.023591587825116545,0.03628989012443917,nan,0.4506525993347168,4.419874429702759
drones_instance-24_network_2_deadline_10_corrsize_3,drones,24,3,1,2,10,3,21.56737961547499,0.28585564956242027,0.6631,40,0.2714,0.2848,0.3013,0.2261608306214722,0.2857952016790633,0.2984763406878156,0.2651684284210205,0.35411739349365234,8.56980037689209
drones_instance-24_network_2_deadline_10_corrsize_4,drones,24,3,1,2,10,3,17.093789306626103,0.04606597763981709,0.8737,40,nan,0.0046,0.0087,nan,0.0025473990632062056,0.007835562113715817,nan,0.40866637229919434,3.251302480697632
drones_instance-24_network_2_deadline_11_corrsize_2,drones,24,3,1,2,11,2,1.488451547054231,0.5874132302627353,0.6308,40,nan,0.0002,0.0002,nan,0.00019359712771718917,0.00010378878935978946,nan,0.4032173156738281,1.7513887882232666
drones_instance-24_network_2_deadline_11_corrsize_3,drones,24,3,1,2,11,3,20.304520102807494,0.061161100620812564,0.7425,40,0.9925,0.9957,0.9957,0.9947148472922327,0.9946840727114583,0.9948338629048744,0.2651524543762207,0.2551701068878174,3.2282180786132812
drones_instance-24_network_2_deadline_11_corrsize_4,drones,24,3,1,2,11,3,17.397816115573605,0.4274047768044222,0.5518,40,0.1387,0.1411,0.1443,0.1072416701209443,0.1418528603684559,0.14213031411400953,0.2676401138305664,0.32688283920288086,1.4753808975219727
drones_instance-24_network_2_deadline_12_corrsize_2,drones,24,3,1,2,12,2,11.02282705780928,0.414800131444413,0.5791,40,0.8475,0.8495,0.8495,0.8065437435701504,0.8405539911943607,0.8501665760497626,0.2679786682128906,0.26230406761169434,0.4669992923736572
drones_instance-24_network_2_deadline_12_corrsize_3,drones,24,3,1,2,12,3,41.61827271469244,0.38560917828641395,0.4017,40,0.1964,0.2294,0.2588,0.16874916684973945,0.21894884754667956,0.26397187463462246,0.26435112953186035,0.3154489994049072,6.018095016479492
drones_instance-24_network_2_deadline_12_corrsize_4,drones,24,3,1,2,12,3,28.53584381068869,0.03383974529734414,0.7971,40,0.5857,0.5869,0.595,0.5344354735936145,0.5901838737007634,0.5964470516172133,0.28020262718200684,0.2611503601074219,1.85672926902771
drones_instance-24_network_2_deadline_13_corrsize_2,drones,24,3,1,2,13,2,17.167670272197828,0.2771425130064096,0.6876,40,0.9716,0.9734,0.9734,0.9650997724986258,0.9728686514441935,0.9727777357660351,0.25985264778137207,0.46845340728759766,1.6604878902435303
drones_instance-24_network_2_deadline_13_corrsize_3,drones,24,3,1,2,13,3,6.489825020255325,0.05308248605269163,0.6889,40,0.9947,0.9963,0.9962,0.9956353430594362,0.9954274429401905,0.995348676742747,0.2723047733306885,0.31380176544189453,18.240588188171387
